,seller_id,revenues,count_orders,days_last_activity,recency,frequency,monetary_ratio,rfm_score
0,3504c0cb71d7fa48d967e0e4c94d59d9,2359.84,53,301,4,5,4,4.0
1,289cdb325fb7e7f891c38608bf9e0962,17290.83,126,9,1,5,5,4.0
2,4869f7a5dfa277a7dca6462dcf3b52b2,242784.09,1156,10,1,5,5,4.0
3,66922902710d126a0e7d26b0e3805106,15631.2,156,13,1,5,5,4.0
4,2c9e548be18521d1c43cde1c582c6de8,8943.21,174,7,1,5,5,4.0
5,8581055ce74af1daba164fdbd55a40de,82392.87,435,138,3,5,5,4.0
6,dc8798cbf453b7e0f98745e396cc5616,2958.5,51,287,4,5,4,4.0
7,16090f2ca825584b5a147ab24aa30c86,26304.62,410,7,1,5,5,4.0
8,63b9ae557efed31d1f7687917d248a8d,278.9,7,567,5,3,2,3.0
9,7c67e1448b00f6e969d365cea6b010ab,395254.85,1364,27,2,5,5,4.0
10,001cca7ae9ae17fb1caed9dfb1094831,35957.91,239,53,3,5,5,4.0
11,87142160b41353c4e5fca2360caf6f92,39972.99,339,13,1,5,5,4.0
12,094ced053e257ae8cae57205592d6712,1622.1,19,35,2,4,3,3.0
13,1900267e848ceeba8fa32d80c1a5f5a8,44308.24,529,8,1,5,5,4.0
14,0bae85eb84b9fb3bd773911e89288d54,8904.31,146,13,1,5,5,4.0
15,89a51f50b8095ea78d5768f34c13a76f,755.12,11,34,2,3,3,3.0
16,c4af86330efa7a2620772227d2d670c9,5396.0,4,80,3,2,4,3.0
17,ea8482cd71df3c1969d7b9473ff13abc,41755.26,1203,10,1,5,5,4.0
18,d2374cbcbb3ca4ab1086534108cc3ab7,38129.68,631,13,1,5,5,4.0
19,70a12e78e608ac31179aea7f8422044b,34117.2,328,14,1,5,5,4.0
20,633ecdf879b94b5337cca303328e4a25,1037.6,6,346,4,3,3,3.0
21,cc419e0650a3c5ba77189a1882b7556a,112965.69,1775,7,1,5,5,4.0
22,8b321bb669392f5163d04c59e235e066,22146.71,1018,13,1,5,5,4.0
